Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Argentina,ARG,"Population, total",SP.POP.TOTL,44938712
Australia,AUS,"Population, total",SP.POP.TOTL,25340217
Brazil,BRA,"Population, total",SP.POP.TOTL,211782878
China,CHN,"Population, total",SP.POP.TOTL,1407745000
France,FRA,"Population, total",SP.POP.TOTL,67388001
Germany,DEU,"Population, total",SP.POP.TOTL,83092962
India,IND,"Population, total",SP.POP.TOTL,1383112050
Indonesia,IDN,"Population, total",SP.POP.TOTL,269582878
Italy,ITA,"Population, total",SP.POP.TOTL,59729081
Japan,JPN,"Population, total",SP.POP.TOTL,126633000
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51764822
Mexico,MEX,"Population, total",SP.POP.TOTL,125085311
Netherlands,NLD,"Population, total",SP.POP.TOTL,17344874
Russian Federation,RUS,"Population, total",SP.POP.TOTL,144406261
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,35827362
Spain,ESP,"Population, total",SP.POP.TOTL,47134837
Switzerland,CHE,"Population, total",SP.POP.TOTL,8575280
Turkiye,TUR,"Population, total",SP.POP.TOTL,83481684
United Kingdom,GBR,"Population, total",SP.POP.TOTL,66836327
United States,USA,"Population, total",SP.POP.TOTL,328329953
Afghanistan,AFG,"Population, total",SP.POP.TOTL,37769499
Albania,ALB,"Population, total",SP.POP.TOTL,2854191
Algeria,DZA,"Population, total",SP.POP.TOTL,42705368
American Samoa,ASM,"Population, total",SP.POP.TOTL,47321
Andorra,AND,"Population, total",SP.POP.TOTL,76343
Angola,AGO,"Population, total",SP.POP.TOTL,32353588
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,92117
Armenia,ARM,"Population, total",SP.POP.TOTL,2820602
Aruba,ABW,"Population, total",SP.POP.TOTL,106442
Austria,AUT,"Population, total",SP.POP.TOTL,8879920
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10024283
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,404557
Bahrain,BHR,"Population, total",SP.POP.TOTL,1494188
Bangladesh,BGD,"Population, total",SP.POP.TOTL,165516222
Barbados,BRB,"Population, total",SP.POP.TOTL,280180
Belarus,BLR,"Population, total",SP.POP.TOTL,9419758
Belgium,BEL,"Population, total",SP.POP.TOTL,11488980
Belize,BLZ,"Population, total",SP.POP.TOTL,389095
Benin,BEN,"Population, total",SP.POP.TOTL,12290444
Bermuda,BMU,"Population, total",SP.POP.TOTL,63911
Bhutan,BTN,"Population, total",SP.POP.TOTL,767459
Bolivia,BOL,"Population, total",SP.POP.TOTL,11777315
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3360711
Botswana,BWA,"Population, total",SP.POP.TOTL,2499702
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,30610
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,438048
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6975761
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,20951639
Burundi,BDI,"Population, total",SP.POP.TOTL,11874838
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,577030
Cambodia,KHM,"Population, total",SP.POP.TOTL,16207746
Cameroon,CMR,"Population, total",SP.POP.TOTL,25782341
Canada,CAN,"Population, total",SP.POP.TOTL,37601230
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,66134
Central African Republic,CAF,"Population, total",SP.POP.TOTL,5209324
Chad,TCD,"Population, total",SP.POP.TOTL,16126866
Channel Islands,CHI,"Population, total",SP.POP.TOTL,169410
Chile,CHL,"Population, total",SP.POP.TOTL,19039485
Colombia,COL,"Population, total",SP.POP.TOTL,50187406
Comoros,COM,"Population, total",SP.POP.TOTL,790986
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,89906890
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5570733
Costa Rica,CRI,"Population, total",SP.POP.TOTL,5084532
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,26147551
Croatia,HRV,"Population, total",SP.POP.TOTL,4065253
Cuba,CUB,"Population, total",SP.POP.TOTL,11316697
Curacao,CUW,"Population, total",SP.POP.TOTL,157441
Cyprus,CYP,"Population, total",SP.POP.TOTL,1228836
Czechia,CZE,"Population, total",SP.POP.TOTL,10671870
Denmark,DNK,"Population, total",SP.POP.TOTL,5814422
Djibouti,DJI,"Population, total",SP.POP.TOTL,1073994
Dominica,DMA,"Population, total",SP.POP.TOTL,71428
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,10881882
Ecuador,ECU,"Population, total",SP.POP.TOTL,17343740
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,105618671
El Salvador,SLV,"Population, total",SP.POP.TOTL,6280217
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1553031
Eritrea,ERI,"Population, total",SP.POP.TOTL,3498818
Estonia,EST,"Population, total",SP.POP.TOTL,1326898
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1169613
Ethiopia,ETH,"Population, total",SP.POP.TOTL,114120594
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,51681
Fiji,FJI,"Population, total",SP.POP.TOTL,918465
Finland,FIN,"Population, total",SP.POP.TOTL,5521606
French Polynesia,PYF,"Population, total",SP.POP.TOTL,299717
Gabon,GAB,"Population, total",SP.POP.TOTL,2242785
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2508883
Georgia,GEO,"Population, total",SP.POP.TOTL,3720161
Ghana,GHA,"Population, total",SP.POP.TOTL,31522290
Gibraltar,GIB,"Population, total",SP.POP.TOTL,32685
Greece,GRC,"Population, total",SP.POP.TOTL,10721582
Greenland,GRL,"Population, total",SP.POP.TOTL,56225
Grenada,GRD,"Population, total",SP.POP.TOTL,122724
Guam,GUM,"Population, total",SP.POP.TOTL,168624
Guatemala,GTM,"Population, total",SP.POP.TOTL,16604026
Guinea,GIN,"Population, total",SP.POP.TOTL,12877539
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1970457
Guyana,GUY,"Population, total",SP.POP.TOTL,798753
Haiti,HTI,"Population, total",SP.POP.TOTL,11160438
Honduras,HND,"Population, total",SP.POP.TOTL,9958829
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7507900
Hungary,HUN,"Population, total",SP.POP.TOTL,9771141
Iceland,ISL,"Population, total",SP.POP.TOTL,360563
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,86564202
Iraq,IRQ,"Population, total",SP.POP.TOTL,41563520
Ireland,IRL,"Population, total",SP.POP.TOTL,4934340
Isle of Man,IMN,"Population, total",SP.POP.TOTL,83933
Israel,ISR,"Population, total",SP.POP.TOTL,9054000
Jamaica,JAM,"Population, total",SP.POP.TOTL,2813773
Jordan,JOR,"Population, total",SP.POP.TOTL,10698683
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,18513673
Kenya,KEN,"Population, total",SP.POP.TOTL,50951450
Kiribati,KIR,"Population, total",SP.POP.TOTL,124241
"Korea, Dem. People's Rep.",PRK,"Population, total",SP.POP.TOTL,25755441
Kosovo,XKX,"Population, total",SP.POP.TOTL,1788878
Kuwait,KWT,"Population, total",SP.POP.TOTL,4441100
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,6456200
Lao PDR,LAO,"Population, total",SP.POP.TOTL,7212053
Latvia,LVA,"Population, total",SP.POP.TOTL,1913822
Lebanon,LBN,"Population, total",SP.POP.TOTL,5781907
Lesotho,LSO,"Population, total",SP.POP.TOTL,2225702
Liberia,LBR,"Population, total",SP.POP.TOTL,4985289
Libya,LBY,"Population, total",SP.POP.TOTL,6569088
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,38482
Lithuania,LTU,"Population, total",SP.POP.TOTL,2794137
Luxembourg,LUX,"Population, total",SP.POP.TOTL,620001
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,663653
Madagascar,MDG,"Population, total",SP.POP.TOTL,27533134
Malawi,MWI,"Population, total",SP.POP.TOTL,18867337
Malaysia,MYS,"Population, total",SP.POP.TOTL,32804020
Maldives,MDV,"Population, total",SP.POP.TOTL,504508
Mali,MLI,"Population, total",SP.POP.TOTL,20567424
Malta,MLT,"Population, total",SP.POP.TOTL,504062
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,44728
Mauritania,MRT,"Population, total",SP.POP.TOTL,4383849
Mauritius,MUS,"Population, total",SP.POP.TOTL,1265711
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,111379
Moldova,MDA,"Population, total",SP.POP.TOTL,2664224
Monaco,MCO,"Population, total",SP.POP.TOTL,37034
Mongolia,MNG,"Population, total",SP.POP.TOTL,3232430
Montenegro,MNE,"Population, total",SP.POP.TOTL,622028
Morocco,MAR,"Population, total",SP.POP.TOTL,36304408
Mozambique,MOZ,"Population, total",SP.POP.TOTL,30285595
Myanmar,MMR,"Population, total",SP.POP.TOTL,53040212
Namibia,NAM,"Population, total",SP.POP.TOTL,2446644
Nauru,NRU,"Population, total",SP.POP.TOTL,12132
Nepal,NPL,"Population, total",SP.POP.TOTL,28832496
New Caledonia,NCL,"Population, total",SP.POP.TOTL,271230
New Zealand,NZL,"Population, total",SP.POP.TOTL,4979200
Nicaragua,NIC,"Population, total",SP.POP.TOTL,6663924
Niger,NER,"Population, total",SP.POP.TOTL,23443393
Nigeria,NGA,"Population, total",SP.POP.TOTL,203304492
North Macedonia,MKD,"Population, total",SP.POP.TOTL,2076694
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,49858
Norway,NOR,"Population, total",SP.POP.TOTL,5347896
Oman,OMN,"Population, total",SP.POP.TOTL,4602768
Pakistan,PAK,"Population, total",SP.POP.TOTL,223293280
Palau,PLW,"Population, total",SP.POP.TOTL,17916
Panama,PAN,"Population, total",SP.POP.TOTL,4232532
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,9542486
Paraguay,PRY,"Population, total",SP.POP.TOTL,6530026
Peru,PER,"Population, total",SP.POP.TOTL,32824861
Philippines,PHL,"Population, total",SP.POP.TOTL,110380804
Poland,POL,"Population, total",SP.POP.TOTL,37965475
Portugal,PRT,"Population, total",SP.POP.TOTL,10286263
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3193694
Qatar,QAT,"Population, total",SP.POP.TOTL,2807235
Romania,ROU,"Population, total",SP.POP.TOTL,19371648
Rwanda,RWA,"Population, total",SP.POP.TOTL,12835028
Samoa,WSM,"Population, total",SP.POP.TOTL,211905
San Marino,SMR,"Population, total",SP.POP.TOTL,34178
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,214599
Senegal,SEN,"Population, total",SP.POP.TOTL,16000781
Serbia,SRB,"Population, total",SP.POP.TOTL,6945235
Seychelles,SYC,"Population, total",SP.POP.TOTL,97625
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,8046828
Singapore,SGP,"Population, total",SP.POP.TOTL,5703569
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,41608
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5454147
Slovenia,SVN,"Population, total",SP.POP.TOTL,2088385
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,674993
Somalia,SOM,"Population, total",SP.POP.TOTL,15981300
South Africa,ZAF,"Population, total",SP.POP.TOTL,58087055
South Sudan,SSD,"Population, total",SP.POP.TOTL,10447666
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,21803000
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,47712
St. Lucia,LCA,"Population, total",SP.POP.TOTL,178583
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,33121
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,104924
Sudan,SDN,"Population, total",SP.POP.TOTL,43232093
Suriname,SUR,"Population, total",SP.POP.TOTL,600301
Sweden,SWE,"Population, total",SP.POP.TOTL,10278887
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,20098251
Tajikistan,TJK,"Population, total",SP.POP.TOTL,9337003
Tanzania,TZA,"Population, total",SP.POP.TOTL,59872579
Thailand,THA,"Population, total",SP.POP.TOTL,71307763
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1280438
Togo,TGO,"Population, total",SP.POP.TOTL,8243094
Tonga,TON,"Population, total",SP.POP.TOTL,104951
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1519955
Tunisia,TUN,"Population, total",SP.POP.TOTL,12049314
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,6158420
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,43080
Tuvalu,TUV,"Population, total",SP.POP.TOTL,10956
Uganda,UGA,"Population, total",SP.POP.TOTL,42949080
Ukraine,UKR,"Population, total",SP.POP.TOTL,44386203
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9211657
Uruguay,URY,"Population, total",SP.POP.TOTL,3428409
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,33580350
Vanuatu,VUT,"Population, total",SP.POP.TOTL,304404
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,28971683
Vietnam,VNM,"Population, total",SP.POP.TOTL,95776716
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,106669
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,4685306
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,31546691
Zambia,ZMB,"Population, total",SP.POP.TOTL,18380477
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,15354608